id,"name",condition,hard,stickiness,"url","created_at","updated_at"
1,"秋田 ゆめおばこ",1,1,1,"https://www.yamatorice.co.jp/products/images/akt_04.png","2020-10-10 12:30:52","2020-10-10 12:30:52"
2,"富山 コシヒカリ",1,1,1,"https://image.yodobashi.com/product/100/000/001/004/149/519/100000001004149519_10204_004.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
3,"栗原 ひとめぼれ",1,3,2,"https://www.satofull.jp/upload/save_image/847/084700020/1206638_01_1599182371.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
4,"宮城 ひとめぼれ",1,3,3,"https://image.yodobashi.com/product/100/000/001/002/364/013/100000001002364013_10204_010.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
5,"マイスターおむすびスペシャル",1,2,3,NULL,"2020-10-10 12:30:52","2020-10-10 12:30:52"
6,"山形 ひとめぼれ",1,1,3,"https://images-na.ssl-images-amazon.com/images/I/81cUOp1gFNL._AC_SL1500_.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
7,"富山 てんこもり",2,1,1,"http://img14.shop-pro.jp/PA01182/829/product/47742513_o2.jpg?20120825222506","2020-10-10 12:30:52","2020-10-10 12:30:52"
8,"会津 コシヒカリ",2,1,1,"https://lh3.googleusercontent.com/proxy/VO5iQKP8KQPZBrzntdDPWVAaTS7biD_irWg7zBDJbTgPEEv5Apov3r1w0FULiG92F9UC-_-5frPaXGyviLeT_voA3Y2DV8TcU_m7ctRvqGa0ZzAcIgK8e_MYiB_Rbt7SivgRtrZ7AIg5fBIFJQ","2020-10-10 12:30:52","2020-10-10 12:30:52"
9,"魚沼津南 コシヒカリ",2,1,1,"https://image.yodobashi.com/product/100/000/001/004/413/259/100000001004413259_10204_001.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
10,"野沢 コシヒカリ",2,1,1,"https://images-na.ssl-images-amazon.com/images/I/71UwDy23ODL._AC_SL1500_.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
11,"秋田 あきた小町",2,1,1,"https://image.yodobashi.com/product/100/000/001/005/833/343/100000001005833343_10204.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
12,"京都丹後 キヌヒカリ",2,1,3,"https://img11.shop-pro.jp/PA01060/687/product/64442728.jpg?cmsp_timestamp=20200530111747","2020-10-10 12:30:52","2020-10-10 12:30:52"
13,"野沢 プラチナコシヒカリ",2,2,1,"https://images-na.ssl-images-amazon.com/images/I/71UwDy23ODL._AC_SL1500_.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
14,"山形 コシヒカリ",2,2,1,"https://images-na.ssl-images-amazon.com/images/I/711mff719sL._AC_SL1500_.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
15,"飯山 コシヒカリ",2,2,1,"https://images-na.ssl-images-amazon.com/images/I/51isPMGghyL._AC_.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
16,"丹波 夢ごこち",2,2,1,"https://images-na.ssl-images-amazon.com/images/I/41RV9gFTr0L._AC_.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
17,"魚沼津南 つきあかり",3,2,1,"https://img02.shop-pro.jp/PA01122/621/product/141566234_th.png?cmsp_timestamp=20200427130430","2020-10-10 12:30:52","2020-10-10 12:30:52"
18,"秋田 ひとめぼれ",2,2,3,"https://www.zpr.co.jp/assets/img/products/01AK_E4960873065468.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
19,"会津 ゆうだい21",2,2,3,"https://image1.shopserve.jp/aizumai.jp/pic-labo/llimg/1803.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
20,"富山 あきさかり",2,2,3,"https://www.komeri.com/images/goods/019/984/05/1998405.jpg","2020-10-10 12:30:52","2020-10-10 12:30:52"
